date,position,track_name,artists_name,album_name,album_release_date,track_link,artists_link,album_link,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,album_id
2003-02-25,1,All I Have,"Jennifer Lopez, LL COOL J",Dance Again...The Hits,2012-07-20,https://open.spotify.com/track/7lQWEF6aUtrT9LH6oI9jlm,"https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR, https://open.spotify.com/artist/1P8IfcNKwrkQP5xJWuhaOC",https://open.spotify.com/album/7LN1DM2rLG5GFezakJF4vk,257293,35,False,0.705,0.681,1,-4.719,1,0.0984,0.289,0,0.094,0.39,83.075,4,7lQWEF6aUtrT9LH6oI9jlm,7LN1DM2rLG5GFezakJF4vk
2003-02-25,2,Heaven,"DJ Sammy, Yanou, Do",Heaven,2002-02-26,https://open.spotify.com/track/72SpPFrMYCXLB3Fbw9tEgf,"https://open.spotify.com/artist/4z4m1P0iX2nRSPDBEZ8LBT, https://open.spotify.com/artist/5SWX583ExJOL7cv8572Crs, https://open.spotify.com/artist/7sQECgfT3RtfL0RZWK63Wg",https://open.spotify.com/album/7KHjkfgCVwog38yBI0NcmR,233600,61,False,0.571,0.953,8,-5.601,1,0.0548,0.0011,0.000606,0.226,0.601,137.965,4,72SpPFrMYCXLB3Fbw9tEgf,7KHjkfgCVwog38yBI0NcmR
2003-02-25,3,Beautiful,Christina Aguilera,Stripped,2002-07-19,https://open.spotify.com/track/3TCauNPqFiniaYHBvEVoHG,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,https://open.spotify.com/album/2USigX9DhGuAini71XZEEK,238560,66,False,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,4,3TCauNPqFiniaYHBvEVoHG,2USigX9DhGuAini71XZEEK
2003-02-25,4,Sing For The Moment,Eminem,The Eminem Show,2002-05-26,https://open.spotify.com/track/3CpoeW0cZSDzIRv5z34F87,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,339546,78,True,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,4,3CpoeW0cZSDzIRv5z34F87,2cWBwpqMsDJC1ZUwz813lo
2003-02-25,5,Jealous,Nina,Heaven,2002-08-05,https://open.spotify.com/track/4kG2BTaz7cZEpt2qK8doYH,https://open.spotify.com/artist/2tQbSWgZLIB8MXMnsXVRro,https://open.spotify.com/album/6xN075I3XzG40aEOzWXERj,255213,49,False,0.711,0.36,11,-11.237,0,0.0331,0.385,9.82e-06,0.111,0.381,127.928,4,4kG2BTaz7cZEpt2qK8doYH,6xN075I3XzG40aEOzWXERj
2003-02-25,6,I'm with You,Avril Lavigne,Let Go,2002-06-04,https://open.spotify.com/track/1jlG3KJ3gdYmhfuySFfpO1,https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,https://open.spotify.com/album/3zXjR3y2dUWklKmmp6lEhy,223066,68,False,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,3,1jlG3KJ3gdYmhfuySFfpO1,3zXjR3y2dUWklKmmp6lEhy
2003-02-25,7,Boy (I Need You),"Mariah Carey, Cam’ron",Charmbracelet,2002-12-02,https://open.spotify.com/track/4nyTG4faxWrcECCW8ZYvol,"https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ, https://open.spotify.com/artist/7iMvwE8qANp3aIfAGKEAwS",https://open.spotify.com/album/2UYie72CXeuwIB7YepDidw,314826,31,False,0.741,0.717,1,-7.08,1,0.0521,0.452,0,0.0739,0.748,84.993,4,4nyTG4faxWrcECCW8ZYvol,2UYie72CXeuwIB7YepDidw
2003-02-25,8,Passenger Seat,Stephen Speaks,Passenger Seat,2011-12-13,https://open.spotify.com/track/5ZpSUdy5wL5Hvwsqz6JCAt,https://open.spotify.com/artist/0AvtzKTYleNqdJXoZasQWG,https://open.spotify.com/album/6kfmY3SwNpSu8XrNeOVLd5,274245,60,False,0.515,0.769,7,-5.696,1,0.031,0.0456,0.00436,0.0961,0.644,153.046,4,5ZpSUdy5wL5Hvwsqz6JCAt,6kfmY3SwNpSu8XrNeOVLd5
2003-02-25,9,Mesmerize,"Ja Rule, Ashanti",The Last Temptation,2002-11-22,https://open.spotify.com/track/4X25vRXOMu8nihzNtYhP2n,"https://open.spotify.com/artist/1J2VVASYAamtQ3Bt8wGgA6, https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83",https://open.spotify.com/album/1XJ5cvwBXVFq30e2ZCsguE,278693,56,True,0.768,0.652,1,-6.589,1,0.194,0.0564,0,0.425,0.387,90.064,4,4X25vRXOMu8nihzNtYhP2n,1XJ5cvwBXVFq30e2ZCsguE
2003-02-25,10,Wake Up,Slapshock,Project 11-41,2002,https://open.spotify.com/track/4upnmoEhqDvgGvjECULs11,https://open.spotify.com/artist/50ifAXDdkDGG0RTON2If8K,https://open.spotify.com/album/4HT68vKMq2sAz72WK1D33F,246826,34,False,0.658,0.97,2,-5.396,1,0.0811,0.0796,0,0.0495,0.551,106.364,4,4upnmoEhqDvgGvjECULs11,4HT68vKMq2sAz72WK1D33F
2003-10-01,1,Perfect,Simple Plan,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",2018-04-06,https://open.spotify.com/track/4j3X4KX8rURekAVIFUhI23,https://open.spotify.com/artist/2p4FqHnazRucYQHyDCdBrJ,https://open.spotify.com/album/3W6TEVlmaP22E4KvWY9HrS,277026,66,False,0.494,0.672,3,-4.877,1,0.0405,0.0273,0,0.105,0.557,156.208,4,4j3X4KX8rURekAVIFUhI23,3W6TEVlmaP22E4KvWY9HrS
2003-10-01,2,"Swing, Swing",The All-American Rejects,The All-American Rejects,2002-10-15,https://open.spotify.com/track/003FTlCpBTM4eSqYSWPv4H,https://open.spotify.com/artist/3vAaWhdBR38Q02ohXqaNHT,https://open.spotify.com/album/0TvOeelcHQXYgPcyQiLhyR,233266,63,False,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,4,003FTlCpBTM4eSqYSWPv4H,0TvOeelcHQXYgPcyQiLhyR
2003-10-01,3,尋找茱麗葉,Van Ness Wu,身體會唱歌,2002-08-09,https://open.spotify.com/track/4p9ZzfA7JRT1ha9rbem9L1,https://open.spotify.com/artist/2Lcyl3luks1H4TDORlJIUW,https://open.spotify.com/album/1pL4taYsCaud832QCxzaxQ,193173,7,False,0.694,0.833,6,-5.716,0,0.0572,0.138,0,0.225,0.75,124.025,4,4p9ZzfA7JRT1ha9rbem9L1,1pL4taYsCaud832QCxzaxQ
2003-10-01,4,愛不會一直等妳,朱孝天,流星雨,2001-08-27,https://open.spotify.com/track/2qAuIf5EdP2YBL0jBQORPx,https://open.spotify.com/artist/1bamHErloUc6v7IVV6xEep,https://open.spotify.com/album/0pjbq9vYCpLsHekvstNM0K,224773,17,False,0.73,0.7,11,-7.049,1,0.0283,0.00961,0,0.159,0.392,110.072,4,2qAuIf5EdP2YBL0jBQORPx,0pjbq9vYCpLsHekvstNM0K
2003-10-01,5,Here We Are,朱孝天,流星雨,2001-08-27,https://open.spotify.com/track/2QjZu9BTDeC6fMRSJxid8X,https://open.spotify.com/artist/1bamHErloUc6v7IVV6xEep,https://open.spotify.com/album/0pjbq9vYCpLsHekvstNM0K,257799,22,False,0.534,0.402,4,-7.605,1,0.0289,0.276,0,0.112,0.453,156.195,4,2QjZu9BTDeC6fMRSJxid8X,0pjbq9vYCpLsHekvstNM0K
2003-10-01,6,Forever's Not Enough,Sarah Geronimo,"Sarah Geronimo Greatest Hits, Vol. 1",2011-12-08,https://open.spotify.com/track/5fC5Qw3gwPecYUGEIhSZuT,https://open.spotify.com/artist/6aiCKnIN68hohzU3ZzNq48,https://open.spotify.com/album/2GM7YIQ4nHPuCkJK9wjvgO,269133,28,False,0.496,0.328,2,-8.643,1,0.0273,0.734,0,0.0947,0.181,71.862,4,5fC5Qw3gwPecYUGEIhSZuT,2GM7YIQ4nHPuCkJK9wjvgO
2003-10-01,7,Numb,Linkin Park,Meteora,2003-03-24,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,https://open.spotify.com/album/4Gfnly5CzMJQqkUFfoHaP3,185586,80,False,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,4,2nLtzopw4rPReszdYBJU6h,4Gfnly5CzMJQqkUFfoHaP3
2003-10-01,8,(There's Gotta Be) More To Life,Stacie Orrico,Stacie Orrico,2003-01-01,https://open.spotify.com/track/2x5qF66rFO6DERBMNkQAqn,https://open.spotify.com/artist/5QjWgYDeKNP2iPHTdTttnG,https://open.spotify.com/album/05bphHAv5bizNSVDeirA9t,200386,54,False,0.58,0.922,1,-3.785,1,0.0957,0.0917,0,0.189,0.649,89.841,4,2x5qF66rFO6DERBMNkQAqn,05bphHAv5bizNSVDeirA9t
2003-10-01,9,One,Heart Evangelista,Heart,2003-07-01,https://open.spotify.com/track/6fZjCOpQUUKsjvert3sJLJ,https://open.spotify.com/artist/6UIEzOUxN61pdpQrAmVKDm,https://open.spotify.com/album/6k7SDM5xKCjaGdGUMRNcpv,202413,27,False,0.594,0.85,6,-6.391,1,0.0463,0.0337,7.05e-05,0.074,0.725,101.964,4,6fZjCOpQUUKsjvert3sJLJ,6k7SDM5xKCjaGdGUMRNcpv
2003-10-01,10,Can We Still Be Friends,Mandy Moore,The Best of Mandy Moore,2004-11-16,https://open.spotify.com/track/0z37Eoxfsq3SNYEdQLumhO,https://open.spotify.com/artist/2LJxr7Pt3JnP60eLxwbDOu,https://open.spotify.com/album/551186Jr75bHrh58ZdEMhW,217840,31,False,0.39,0.648,9,-5.736,1,0.0317,0.245,0,0.0999,0.551,174.261,4,0z37Eoxfsq3SNYEdQLumhO,551186Jr75bHrh58ZdEMhW
2004-10-04,1,地心引力,Jerry Yan,第一次(白天版),2004-08-05,https://open.spotify.com/track/70NgdwaHibE64B6EbhE9aD,https://open.spotify.com/artist/2WkfI6UZfc7Ohpyba7d086,https://open.spotify.com/album/1s8LhNLb7wMe7cxZs4nfnZ,265186,20,False,0.693,0.571,9,-5.545,1,0.0309,0.156,3.94e-06,0.943,0.475,93.97,4,70NgdwaHibE64B6EbhE9aD,1s8LhNLb7wMe7cxZs4nfnZ
2004-10-04,2,Colour Everywhere,Christian Bautista,Christian Bautista,2004-03-25,https://open.spotify.com/track/3RYpfzRDiCTPESz7yBLT0e,https://open.spotify.com/artist/4U78sK2D3zASSB6oSR38GQ,https://open.spotify.com/album/0qEwvzXNVsPFK7eftFej7Q,253173,41,False,0.73,0.433,3,-8.335,0,0.0316,0.73,0,0.128,0.44,125.862,4,3RYpfzRDiCTPESz7yBLT0e,0qEwvzXNVsPFK7eftFej7Q
2004-10-04,3,Not Your Ordinary Girl,Kyla,Essence of Soul,2010,https://open.spotify.com/track/0OjjiUsU2oC23eavjh4hL6,https://open.spotify.com/artist/2vTbuBRo7ACOZ3JsCnaL7S,https://open.spotify.com/album/3R8vFYl5AXmVSNSJxRxv6u,248173,8,False,0.466,0.62,1,-8.057,1,0.137,0.416,5.77e-05,0.254,0.71,173.117,4,0OjjiUsU2oC23eavjh4hL6,3R8vFYl5AXmVSNSJxRxv6u
2004-10-04,4,一公尺,Jerry Yan,第一次(白天版),2004-08-05,https://open.spotify.com/track/3VhFGiJm9OKZNCexnYTG8A,https://open.spotify.com/artist/2WkfI6UZfc7Ohpyba7d086,https://open.spotify.com/album/1s8LhNLb7wMe7cxZs4nfnZ,250773,16,False,0.466,0.443,11,-7.477,1,0.0349,0.644,0,0.142,0.27,133.361,4,3VhFGiJm9OKZNCexnYTG8A,1s8LhNLb7wMe7cxZs4nfnZ
2004-10-04,5,In or Out,Sandara Park,Sandara,2005-01-01,https://open.spotify.com/track/3eSDXqvDhUriIOsnBCDoBc,https://open.spotify.com/artist/3LKVw6XQYcot0OZMFmf4IP,https://open.spotify.com/album/1ESZDjfyERKdAadxy19p50,271882,20,False,0.717,0.711,4,-9.257,1,0.0282,0.168,2.59e-06,0.153,0.941,129.966,4,3eSDXqvDhUriIOsnBCDoBc,1ESZDjfyERKdAadxy19p50
2004-10-04,6,Di Ko Na Kaya,Tux,Songs Inspired by Mulawin,2004-10-01,https://open.spotify.com/track/4KgaLU49GdfIoJCnokunXK,https://open.spotify.com/artist/244sqEytRDGledfHVybE0r,https://open.spotify.com/album/1FrABwsdHCXAaQTI0s5omR,273880,1,False,0.516,0.278,11,-12.905,1,0.0261,0.844,0,0.3,0.196,100.035,4,4KgaLU49GdfIoJCnokunXK,1FrABwsdHCXAaQTI0s5omR
2004-10-04,7,Waiting In Vain,MYMP,Soulful Acoustic,2004,https://open.spotify.com/track/19KLLTj8JBOwAXNiql6LNU,https://open.spotify.com/artist/5elcNQkZ6FCZA3grSOMngY,https://open.spotify.com/album/4S3jeaN6SrdwqwynSRlyHl,282466,35,False,0.797,0.201,1,-15.393,1,0.0529,0.211,5.63e-06,0.0664,0.588,77.676,4,19KLLTj8JBOwAXNiql6LNU,4S3jeaN6SrdwqwynSRlyHl
2004-10-04,8,Breakaway,Kelly Clarkson,Breakaway,2004,https://open.spotify.com/track/4PFAm88FBkY7IFtvCaGctZ,https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX,https://open.spotify.com/album/20jYcJane0oI7VoMNoEOJU,237000,61,False,0.268,0.716,9,-4.151,0,0.0337,0.0421,9.88e-06,0.108,0.393,160.008,3,4PFAm88FBkY7IFtvCaGctZ,20jYcJane0oI7VoMNoEOJU
2004-10-04,9,Masaya,Bamboo,As the Music Plays the Band,2004,https://open.spotify.com/track/6sxg4O8Nsiq9NuAiBbL3Nr,https://open.spotify.com/artist/0c7d9V8rjfT6tzojfBfRf5,https://open.spotify.com/album/0E1sc92U89BlRmR5V6VIAH,225640,51,False,0.5,0.371,7,-10.212,1,0.0376,0.783,0.00405,0.138,0.279,114.976,5,6sxg4O8Nsiq9NuAiBbL3Nr,0E1sc92U89BlRmR5V6VIAH
2004-10-04,10,My Prerogative,Britney Spears,Greatest Hits: My Prerogative,2004-11-08,https://open.spotify.com/track/2JxftzENN2rhpXxnOmtQBR,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,https://open.spotify.com/album/3caKTh2tJMowPiMz0cguLI,213893,50,False,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96e-06,0.103,0.619,111.014,4,2JxftzENN2rhpXxnOmtQBR,3caKTh2tJMowPiMz0cguLI
2004-12-29,1,Bright Lights,Billy Crawford
2004-12-29,2,How Could You Say You Love Me,Sarah Geronimo,Sweet Sixteen,2004-12-11,https://open.spotify.com/track/7AQK7ihYgF8iVQrxAs1aRH,https://open.spotify.com/artist/6aiCKnIN68hohzU3ZzNq48,https://open.spotify.com/album/72p3F85AZsf1xCKOzybIZr,245093,45,False,0.534,0.391,7,-8.264,1,0.0286,0.724,0,0.197,0.239,131.807,4,7AQK7ihYgF8iVQrxAs1aRH,72p3F85AZsf1xCKOzybIZr
2004-12-29,3,If the Feeling Is Gone,Kyla,Not Your Ordinary Girl,2004,https://open.spotify.com/track/2qXhbLRZs2uyJsNmci6TjT,https://open.spotify.com/artist/2vTbuBRo7ACOZ3JsCnaL7S,https://open.spotify.com/album/7tY7MqV75gh0FDZsIlUkqx,216880,23,False,0.548,0.31,0,-9.539,1,0.0281,0.849,3.57e-06,0.147,0.35,132.604,4,2qXhbLRZs2uyJsNmci6TjT,7tY7MqV75gh0FDZsIlUkqx
2004-12-29,4,Smile,Westlife,Allow Us to Be Frank,2004-11-08,https://open.spotify.com/track/0M8nAtclrbnYPxGKl36Gth,https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY,https://open.spotify.com/album/5RtHBmpn9eiCIYbj8jKUMb,170493,22,False,0.291,0.283,9,-9.779,0,0.0291,0.919,2.34e-06,0.239,0.157,83.546,4,0M8nAtclrbnYPxGKl36Gth,5RtHBmpn9eiCIYbj8jKUMb
2004-12-29,5,Long Night,The Corrs,Borrowed Heaven,2004-05-31,https://open.spotify.com/track/7HkNi0b4OIOdZvVejnzTsv,https://open.spotify.com/artist/1VbWUxZTRNY2gw3qZ1tg9W,https://open.spotify.com/album/5V282yl63bCEvTogUxqASg,227373,36,False,0.291,0.418,7,-6.242,1,0.0291,0.262,0,0.0902,0.16,71.794,4,7HkNi0b4OIOdZvVejnzTsv,5V282yl63bCEvTogUxqASg
2004-12-29,6,Huwag Na Huwag Mong Sasabihin,Kitchie Nadal,Kitchie Nadal,2004-01-01,https://open.spotify.com/track/4mOjjXKDOR1sel6APULUaN,https://open.spotify.com/artist/4OjU5UP0GFWeniBC82sGBY,https://open.spotify.com/album/7beVKW0o7iRoM0eRT3kGfk,249080,51,False,0.38,0.685,9,-6.322,1,0.0282,0.126,2.87e-06,0.171,0.357,163.884,4,4mOjjXKDOR1sel6APULUaN,7beVKW0o7iRoM0eRT3kGfk
2004-12-29,7,I Don't Want To Be Your Friend,Nina,Live,2007,https://open.spotify.com/track/75AKFZo2Dc58GXc8fCKFmx,https://open.spotify.com/artist/2tQbSWgZLIB8MXMnsXVRro,https://open.spotify.com/album/66a4sphHBAshn0R7a8q2W6,236666,36,False,0.562,0.259,8,-9.417,1,0.0296,0.892,0.000763,0.118,0.211,148.044,4,75AKFZo2Dc58GXc8fCKFmx,66a4sphHBAshn0R7a8q2W6
2004-12-29,8,Tilt Ya Head Back,"Nelly, Christina Aguilera",Sweat,2004-11-14,https://open.spotify.com/track/2VJg6kEJXgeBNm0xnl7xYk,"https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw, https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS",https://open.spotify.com/album/07r7KrppFUq72j7nEznjlo,253253,37,True,0.836,0.724,10,-5.789,0,0.145,0.0336,0,0.279,0.735,115.72,4,2VJg6kEJXgeBNm0xnl7xYk,07r7KrppFUq72j7nEznjlo
2004-12-29,9,Karma,Alicia Keys,The Diary Of Alicia Keys,2003-12-02,https://open.spotify.com/track/588RGyR1f4Plc8nm7SrdCa,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,https://open.spotify.com/album/6TqRKHLjDu5QZuC8u5Woij,256000,48,False,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098,4,588RGyR1f4Plc8nm7SrdCa,6TqRKHLjDu5QZuC8u5Woij
2004-12-29,10,Lose My Breath,Destiny's Child,Destiny Fulfilled,2004,https://open.spotify.com/track/2n4uOdMHzEvcZ0KP7iQnay,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i,https://open.spotify.com/album/3xjdyJjSMNsSRkj3GTmBLi,242013,60,False,0.814,0.899,1,-5.958,1,0.0637,0.00727,0.219,0.0979,0.545,119.011,4,2n4uOdMHzEvcZ0KP7iQnay,3xjdyJjSMNsSRkj3GTmBLi
2005-01-03,1,Bright Lights,Billy Crawford
2005-01-03,2,How Could You Say You Love Me,Sarah Geronimo,Sweet Sixteen,2004-12-11,https://open.spotify.com/track/7AQK7ihYgF8iVQrxAs1aRH,https://open.spotify.com/artist/6aiCKnIN68hohzU3ZzNq48,https://open.spotify.com/album/72p3F85AZsf1xCKOzybIZr,245093,45,False,0.534,0.391,7,-8.264,1,0.0286,0.724,0,0.197,0.239,131.807,4,7AQK7ihYgF8iVQrxAs1aRH,72p3F85AZsf1xCKOzybIZr
2005-01-03,3,If the Feeling Is Gone,Kyla,Essence of Soul,2010,https://open.spotify.com/track/0A8ZRhEFX7LY5yDSPPCrRe,https://open.spotify.com/artist/2vTbuBRo7ACOZ3JsCnaL7S,https://open.spotify.com/album/3R8vFYl5AXmVSNSJxRxv6u,213720,33,False,0.54,0.316,0,-9.353,1,0.029,0.882,0.000111,0.117,0.246,132.83,4,0A8ZRhEFX7LY5yDSPPCrRe,3R8vFYl5AXmVSNSJxRxv6u
2005-01-03,4,Smile,Westlife,Allow Us to Be Frank,2004-11-08,https://open.spotify.com/track/0M8nAtclrbnYPxGKl36Gth,https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY,https://open.spotify.com/album/5RtHBmpn9eiCIYbj8jKUMb,170493,22,False,0.291,0.283,9,-9.779,0,0.0291,0.919,2.34e-06,0.239,0.157,83.546,4,0M8nAtclrbnYPxGKl36Gth,5RtHBmpn9eiCIYbj8jKUMb
2005-01-03,5,I Don't Want To Be Your Friend,Nina,Live,2007,https://open.spotify.com/track/75AKFZo2Dc58GXc8fCKFmx,https://open.spotify.com/artist/2tQbSWgZLIB8MXMnsXVRro,https://open.spotify.com/album/66a4sphHBAshn0R7a8q2W6,236666,36,False,0.562,0.259,8,-9.417,1,0.0296,0.892,0.000763,0.118,0.211,148.044,4,75AKFZo2Dc58GXc8fCKFmx,66a4sphHBAshn0R7a8q2W6
2005-01-03,6,Huwag Na Huwag Mong Sasabihin,Kitchie Nadal,Kitchie Nadal,2004-01-01,https://open.spotify.com/track/4mOjjXKDOR1sel6APULUaN,https://open.spotify.com/artist/4OjU5UP0GFWeniBC82sGBY,https://open.spotify.com/album/7beVKW0o7iRoM0eRT3kGfk,249080,51,False,0.38,0.685,9,-6.322,1,0.0282,0.126,2.87e-06,0.171,0.357,163.884,4,4mOjjXKDOR1sel6APULUaN,7beVKW0o7iRoM0eRT3kGfk
2005-01-03,7,Long Night,The Corrs,Borrowed Heaven,2004-05-31,https://open.spotify.com/track/7HkNi0b4OIOdZvVejnzTsv,https://open.spotify.com/artist/1VbWUxZTRNY2gw3qZ1tg9W,https://open.spotify.com/album/5V282yl63bCEvTogUxqASg,227373,36,False,0.291,0.418,7,-6.242,1,0.0291,0.262,0,0.0902,0.16,71.794,4,7HkNi0b4OIOdZvVejnzTsv,5V282yl63bCEvTogUxqASg
2005-01-03,8,Karma,Alicia Keys,The Diary Of Alicia Keys,2003-12-02,https://open.spotify.com/track/588RGyR1f4Plc8nm7SrdCa,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,https://open.spotify.com/album/6TqRKHLjDu5QZuC8u5Woij,256000,48,False,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098,4,588RGyR1f4Plc8nm7SrdCa,6TqRKHLjDu5QZuC8u5Woij
